Rk,Year,Player,Pos,AV,School,College,Height,Wt,40yd,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (Tm / Rd/ Yr),Year
7,2013,Bobby Cowan,P,null,Idaho,College Stats,6-4,219,5.13,null,null,null,null,null,null,2013
8,2013,Alex Dunnachie,P,null,Hawaii,College Stats,6-3,217,4.97,null,null,null,null,null,null,2013
9,2013,Josh Hubner,P,null,Arizona State,College Stats,6-4,232,5.06,null,13,null,null,null,null,2013
10,2013,Luke Ingram,LS,null,Hawaii,College Stats,6-5,258,5.05,null,24,106,null,null,null,2013
1,2014,Pat O'Donnell,P,8,Miami (FL),College Stats,6-4,220,4.64,30.5,23,120,null,null,Chicago Bears / 6th / 191st pick / 2014,2014
2,2014,Cody Mandell,P,null,Alabama,College Stats,6-2,216,4.89,27.0,null,109,null,null,null,2014
3,2014,Richie Leone,P,null,Houston,College Stats,6-3,211,5.10,null,null,null,null,null,null,2014
4,2014,Tom Hornsey,P,null,Memphis,College Stats,6-3,221,5.05,null,null,null,null,null,null,2014
5,2014,Steven Clark,P,null,Auburn,College Stats,6-5,231,5.18,null,null,null,null,null,null,2014
6,2014,Marcus Heit,LS,null,Kansas State,null,6-3,258,4.91,29.0,null,115,null,null,null,2014
1,2015,Spencer Roth,P,null,Baylor,College Stats,6-4,227,5.06,null,null,null,null,null,null,2015
2,2015,Bradley Pinion,P,4,Clemson,College Stats,6-5,229,5.18,null,null,null,null,null,San Francisco 49ers / 5th / 165th pick / 2015,2015
3,2015,Trevor Pardula,P,null,Kansas,College Stats,6-4,227,5.12,null,null,null,null,null,null,2015
4,2015,Will Johnson,P,null,Texas State,College Stats,6-2,206,5.02,null,null,null,null,null,null,2015
5,2015,Kyle Christy,P,null,Florida,College Stats,6-2,202,4.93,null,null,null,null,null,null,2015
6,2015,Joe Cardona,LS,3,Navy,College Stats,6-2,242,4.91,33.0,30,null,null,null,New England Patriots / 5th / 166th pick / 2015,2015
7,2015,Will Baumann,P,null,North Carolina State,null,6-6,187,5.14,null,null,null,null,null,null,2015
8,2015,Kyle Loomis,P,null,Portland State,null,6-2,221,5.08,null,null,null,null,null,null,2015
1,2016,Nick O'Toole,P,null,West Virginia,College Stats,6-3,219,5.05,null,null,null,null,null,null,2016
2,2016,Will Monday,P,null,Duke,College Stats,6-4,212,5.10,null,null,null,null,null,null,2016
3,2016,Jimmy Landes,LS,null,Baylor,College Stats,6-1,240,4.95,27.5,null,110,7.05,4.38,Detroit Lions / 6th / 210th pick / 2016,2016
4,2016,Drew Kaser,P,6,Texas A&M,College Stats,6-2,212,4.95,null,null,null,null,null,San Diego Chargers / 6th / 179th pick / 2016,2016
5,2016,Tom Hackett,P,null,Utah,College Stats,5-10,198,4.86,null,null,null,null,null,null,2016
6,2016,Riley Dixon,P,4,Syracuse,College Stats,6-4,221,5.04,null,null,null,null,null,Denver Broncos / 7th / 228th pick / 2016,2016
7,2016,Lachlan Edwards,P,null,Sam Houston St,null,6-4,209,4.98,null,null,null,null,null,null,2016
1,2017,Justin Vogel,P,2,Miami (FL),College Stats,6-4,219,4.70,34.0,null,null,null,null,null,2017
2,2017,Austin Rehkow,P,null,Idaho,College Stats,6-3,214,null,null,null,null,null,null,null,2017
3,2017,Bradley Northnagel,LS,null,California,College Stats,6-2,243,5.30,25.5,null,99,null,null,null,2017
4,2017,Cameron Johnston,P,null,Ohio State,College Stats,5-11,194,4.92,null,null,null,null,null,null,2017
5,2017,Hayden Hunt,P,null,Colorado State,College Stats,6-0,212,null,null,null,null,null,null,null,2017
6,2017,Colin Holba,LS,0,Louisville,College Stats,6-4,248,5.19,28.0,null,115,null,null,Pittsburgh Steelers / 6th / 213th pick / 2017,2017
7,2017,Toby Baker,P,null,Arkansas,College Stats,6-3,210,null,null,null,null,null,null,null,2017
