Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
5,150,CHI,Jordan Howard,RB,21,2018,0,1,3,16,16,33,0,0,0,0,0,557,2552,15,60,481,1,1,,,Indiana,2016
5,151,DET,Joe Dahl,G,23,2018,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,2016
5,152,WAS,Matthew Ioannidis,DT,22,2018,0,0,2,6,6,26,0,0,0,0,0,0,0,0,0,0,0,22,,6.5,Temple,2016
5,153,PHI,Wendell Smallwood,RB,22,2018,0,0,0,5,5,23,0,0,0,0,0,131,514,2,20,160,0,,,,West Virginia,2016
5,154,CLE,Jordan Payton,WR,23,2016,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,,,,UCLA,2016
5,155,IND,Joe Haeg,T,23,2018,0,0,2,15,15,33,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,2016
5,156,BUF,Jonathan Williams,RB,22,2018,0,0,0,1,1,13,0,1,0,0,0,29,93,1,1,0,0,,,,Arkansas,2016
5,157,TEN,LeShaun Sims,CB,22,2018,0,0,0,4,4,28,0,0,0,0,0,0,0,0,0,0,0,45,2,,Southern Utah,2016
5,158,NYJ,Brandon Shell,T,24,2018,0,0,2,7,7,22,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,2016
5,159,HOU,K.J. Dillon,S,22,2016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,West Virginia,2016
5,160,MIN,Kentrell Brothers,OLB,23,2018,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,2016
5,161,CIN,Christian Westerman,G,23,2018,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,2016
5,162,KAN,Kevin Hogan,QB,23,2018,0,0,0,2,,8,60,101,621,4,7,18,176,1,0,0,0,,,,Stanford,2016
5,163,GNB,Trevor Davis,WR,23,2018,0,0,0,1,1,27,0,0,0,0,0,2,13,0,8,94,1,,,,California,2016
5,164,PHI,Halapoulivaati Vaitai,T,23,2018,0,0,1,8,8,25,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,2016
5,165,KAN,Tyreek Hill,WR,22,2018,1,2,2,23,23,33,0,1,0,0,1,43,330,3,148,2035,16,,,,West Alabama,2016
5,166,HOU,D.J. Reader,NT,22,2018,0,0,2,10,10,32,0,0,0,0,0,0,0,0,0,0,0,36,,4,Clemson,2016
5,167,ARI,Marqui Christian,S,21,2018,0,0,0,2,,25,0,0,0,0,0,0,0,0,0,0,0,11,,,Midwestern St.,2016
5,168,CLE,Spencer Drango,G,23,2018,0,0,2,9,9,32,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,2016
5,169,DET,Antwione Williams,LB,23,2018,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,12,,,Georgia Southern,2016
5,170,ARI,Cole Toner,T,22,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Harvard,2016
5,171,SEA,Alex Collins,RB,22,2018,0,0,2,11,2,28,0,0,0,0,0,259,1146,8,38,332,0,,,,Arkansas,2016
5,172,CLE,Rashard Higgins,WR,21,2018,0,0,0,2,2,33,0,0,0,0,0,1,4,0,39,474,2,,,,Colorado St.,2016
5,173,CLE,Trey Caldwell,DB,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,La-Monroe,2016
5,174,SFO,Fahn Cooper,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,2016
5,175,SDG,Jatavis Brown,OLB,22,2018,0,0,0,8,8,30,0,0,0,0,0,0,0,0,0,0,0,119,,4.5,Akron,2016
6,176,DEN,Andy Janovich,FB,23,2018,0,0,0,1,1,29,0,0,0,0,0,10,45,2,10,90,0,,,,Nebraska,2016
6,177,LAR,Temarrick Hemingway,TE,23,2018,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina St.,2016
6,178,KAN,D.J. White,CB,22,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,13,1,,Georgia Tech,2016
6,179,SDG,Drew Kaser,P,23,2018,0,0,3,6,6,34,0,0,0,0,0,1,0,0,0,0,0,,,,Texas A&M,2016
6,180,MIN,Moritz Boehringer,WR,22,2018,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2016
6,181,JAX,Tyrone Holmes,OLB,22,2018,0,0,0,1,,15,0,0,0,0,0,0,0,0,0,0,0,1,,1,Montana,2016
6,182,BAL,Keenan Reynolds,RB,22,2018,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Navy,2016
6,183,TAM,Devante Bond,OLB,23,2018,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,3,,,Oklahoma,2016
6,184,NYG,Jerell Adams,TE,23,2018,0,0,0,2,2,29,0,0,0,0,0,0,0,0,24,214,1,,,,South Carolina,2016
6,185,CHI,DeAndre Houston-Carson,S,23,2018,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,,,,William & Mary,2016
6,186,MIA,Jakeem Grant,WR,23,2018,0,0,1,3,3,34,0,0,0,0,0,5,18,0,20,268,2,,,,Texas Tech,2016
6,187,WAS,Nate Sudfeld,QB,22,2018,0,0,0,1,,1,19,23,134,0,0,1,22,0,0,0,0,,,,Indiana,2016
6,188,MIN,David Morgan,TE,23,2018,0,0,1,1,1,29,0,0,0,0,0,0,0,0,14,127,1,,,,Texas-San Antonio,2016
6,189,DAL,Anthony Brown,CB,22,2018,0,0,3,8,8,34,0,0,0,0,0,0,0,0,0,0,0,85,3,1,Purdue,2016
