,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
4,104,SDG,Jason Perry,DB,23,2002,0,0,0,6,6,36,0,0,0,0,0,0,0,0,0,0,0,44,2,,North Carolina St.,1999
4,105,BAL,Brandon Stokley,WR,23,2013,0,0,2,45,5,152,0,0,0,0,0,9,32,0,397,5339,39,18,,,Louisiana,1999
4,106,CHI,Warrick Holdman,LB,23,2006,0,0,4,37,24,105,0,0,0,0,0,0,0,0,0,0,0,392,1,5,Texas A&M,1999
4,107,WAS,Nate Stimson,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Tech,1999
4,108,KAN,Larry Parker,WR,23,2001,0,0,0,2,2,38,0,0,0,0,0,4,-1,0,18,240,2,3,,,USC,1999
4,109,PIT,Aaron Smith,DE,23,2011,0,1,7,71,71,160,0,0,0,0,0,0,0,0,0,0,0,326,1,44,Northern Colorado,1999
4,110,SFO,Pierson Prioleau,DB,22,2010,0,0,1,20,3,160,0,0,0,0,0,0,0,0,0,0,0,348,1,6,Virginia Tech,1999
4,111,CHI,Rosevelt Colvin,LB,22,2008,0,0,5,40,20,121,0,0,0,0,0,0,0,0,0,0,0,274,3,52.5,Purdue,1999
4,112,NYG,Sean Bennett,RB,23,2002,0,0,0,1,1,16,0,0,0,0,0,29,126,1,9,64,0,1,,,Northwestern,1999
4,113,TAM,Dexter Jackson,DB,22,2008,0,0,6,31,17,118,0,0,0,0,0,0,0,0,0,0,0,348,17,5,Florida St.,1999
4,114,TEN,Brad Ware,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,1999
4,115,SEA,Antonio Cochran,DE,23,2005,0,0,1,19,19,85,0,0,0,0,0,0,0,0,0,0,0,131,2,15.5,Georgia,1999
4,116,ARI,Joel Makovicka,FB,23,2002,0,0,3,3,3,58,0,0,0,0,0,17,88,0,47,264,5,9,,,Nebraska,1999
4,117,TEN,Donald Mitchell,DB,22,2002,0,0,1,8,8,44,0,0,0,0,0,0,0,0,0,0,0,69,2,,SMU,1999
4,118,DAL,Wane McGarity,WR,22,2001,0,0,0,6,6,31,0,0,0,0,0,6,49,1,39,363,1,1,,,Texas,1999
4,119,BUF,Keith Newman,LB,22,2006,0,0,5,28,16,102,0,0,0,0,0,0,0,0,0,0,0,227,2,23,North Carolina,1999
4,120,MIN,Kenny Wright,DB,21,2007,0,0,3,25,9,133,0,0,0,0,0,0,0,0,0,0,0,308,7,3,Arkansas,1999
4,121,JAX,Kevin Landolt,DT,23,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,1999
4,122,BUF,Bobby Collins,TE,23,2001,0,0,0,2,2,30,0,0,0,0,0,0,0,0,16,199,2,,,,North Alabama,1999
4,123,NYJ,Jason Wiltz,DT,22,2000,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,9,2,2,Nebraska,1999
4,124,CLE,Wali Rainer,LB,22,2005,0,0,3,27,17,110,0,0,0,0,0,0,0,0,0,0,0,387,1,4,Virginia,1999
4,125,MIN,Jay Humphrey,T,,,0,0,0,,,,,,,,,,,,,,,,,,Texas,1999
4,126,ATL,Johndale Carty,DB,22,2002,0,0,0,5,5,61,0,0,0,0,0,0,0,0,0,0,0,32,2,1,Utah St.,1999
4,127,DEN,Olandis Gary,RB,24,2003,0,0,1,16,13,48,0,0,0,0,0,496,1998,11,59,415,0,4,,,Georgia,1999
4,128,PHI,Damon Moore,DB,22,2002,0,0,1,17,16,54,0,0,0,0,0,0,0,0,0,0,0,145,6,1,Ohio St.,1999
4,129,BAL,Edwin Mulitalo,G,25,2008,0,0,9,43,34,132,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,1999
4,130,PHI,Na Brown,WR,22,2001,0,0,0,4,4,42,0,0,0,0,0,0,0,0,34,363,2,2,,,North Carolina,1999
4,131,GNB,Aaron Brooks,QB,23,2006,0,0,6,65,,93,1673,2963,20261,123,92,362,1534,13,1,1,0,11,,,Virginia,1999
4,132,DAL,Peppi Zellner,DE,24,2004,0,0,2,19,11,89,0,0,0,0,0,0,0,0,0,0,0,107,,9,Fort Valley St.,1999
4,133,GNB,Josh Bidwell,P,23,2010,0,1,9,18,6,148,0,0,0,0,0,1,0,0,0,0,0,4,,,Oregon,1999
5,134,MIA,Cecil Collins,RB,22,1999,0,0,0,3,3,8,0,0,0,0,0,131,414,2,6,32,0,,,,McNeese St.,1999
5,135,CIN,Nick Luchey,FB,22,2005,0,0,0,3,3,75,0,0,0,0,0,44,170,2,27,258,0,,,,Miami (FL),1999
5,136,PIT,Jerame Tuman,TE,23,2008,0,0,3,5,5,123,0,0,0,0,0,0,0,0,46,541,7,4,,,Michigan,1999
5,137,DET,Tyree Talton,DB,23,1999,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,1999
5,138,IND,Brad Scioli,DE,23,2004,0,0,2,14,14,80,0,0,0,0,0,0,0,0,0,0,0,86,,15,Penn St.,1999
5,139,SDG,Adrian Dingle,DE,22,2004,0,0,1,12,12,70,0,0,0,0,0,0,0,0,0,0,0,81,1,14.5,Clemson,1999
5,140,SEA,Floyd Wedderburn,G,23,2002,0,0,1,15,15,46,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,1999
5,141,SDG,Reggie Nelson,T,23,2000,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,McNeese St.,1999
5,142,MIA,Bryan Jones,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.,1999
5,143,CHI,Jerry Wisne,T,23,2002,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,1999
5,144,CHI,Khari Samuel,LB,22,2001,0,0,0,2,2,39,0,0,0,0,0,0,0,0,0,0,0,10,,,Massachusetts,1999
5,145,STL,Cameron Spikes,G,22,2004,0,0,2,13,2,63,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,1999
5,146,OAK,Eric Barton,LB,21,2010,0,0,7,51,16,160,0,0,0,0,0,0,0,0,0,0,0,632,4,20,Maryland,1999
5,147,CHI,Jerry Azumah,DB,22,2005,0,1,3,30,30,105,0,0,0,0,0,0,0,0,0,0,0,297,10,6.5,New Hampshire,1999
5,148,CLE,Darrin Chiaverini,WR,21,2002,0,0,1,5,4,49,0,0,0,0,0,1,3,0,62,662,7,1,,,Colorado,1999
5,149,NYG,Mike Rosenthal,T,22,2006,0,0,3,29,12,89,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,1999
