 Rnk, Player Name, School, Conf, Games Played, Cmp (passing), Att (passing),  Percent (passing),  Yards (passing),  Avg Yards (passing),AY/A (passing),TD (passing), Interceptins (passing), Rate (passing), Att (rushing), Yds (rushing), Avg Yards (rushing), TD (rushing), Year
38,Hank Washington,West Texas A&M,Ind,10,119,243,49.0,1403,5.8,4.5,9,11,100.6,93,-28,-0.3,4,1965
39,Thomas Ray,Clemson,ACC,10,74,175,42.3,1019,5.8,3.2,4,12,85.0,74,146,2.0,4,1965
40,Don Unverferth,Ohio State,Big Ten,9,99,191,51.8,1061,5.6,3.6,4,10,94.9,38,-116,-3.1,0,1965
41,Ken Stockdale,Baylor,SWC,10,89,177,50.3,978,5.5,3.0,5,12,92.5,40,9,0.2,1,1965
42,John Cartwright,Navy,Ind,10,82,172,47.7,943,5.5,3.6,6,10,93.6,81,141,1.7,1,1965
43,Bob Hall,Brown,Ivy,9,135,254,53.1,1340,5.3,2.9,8,17,94.5,158,557,3.5,5,1965
44,Bobby Duhon,Tulane,SEC,10,64,151,42.4,807,5.3,2.4,5,12,82.3,120,212,1.8,1,1965
45,Harry Ledbetter,Texas A&M,SWC,10,83,182,45.6,940,5.2,null,null,11,null,132,-10,-0.1,null,1965
46,Vidal Carlin,North Texas,MVC,10,159,341,46.6,1723,5.1,3.4,12,18,90.1,40,-65,-1.6,2,1965
47,Ed Pritchett,Florida State,Ind,10,110,247,44.5,1225,5.0,2.8,5,14,81.5,78,230,2.9,2,1965
48,Danny Talbott,North Carolina,ACC,10,103,217,47.5,1084,5.0,2.6,3,13,82.0,96,397,4.1,7,1965
49,Charles Burt,Wisconsin,Big Ten,10,121,235,51.5,1143,4.9,1.1,5,22,80.6,90,-120,-1.3,null,1965
50,Billy Fletcher,Memphis,Ind,10,92,256,35.9,1239,4.8,2.3,13,20,77.7,109,556,5.1,6,1965
51,Vic Castillo,Kansas State,Big 8,10,60,159,37.7,734,4.6,0.6,2,15,61.8,54,-47,-0.9,0,1965
52,Gary Snook,Iowa,Big Ten,10,95,230,41.3,1009,4.4,0.2,4,23,63.9,65,15,0.2,null,1965
1,Bo Burris,Houston,Ind,10,98,204,48.0,1666,8.2,5.7,22,21,131.6,70,180,2.6,4,1966
2,Bob Griese,Purdue,Big Ten,11,130,215,60.5,1749,8.1,6.9,12,11,137.0,71,215,3.0,6,1966
3,Jimmy Addison,Clemson,ACC,10,103,186,55.4,1491,8.0,5.7,10,14,125.4,32,-2,-0.1,0,1966
4,Gary Beban,UCLA,AAWU,10,78,157,49.7,1245,7.9,5.8,6,10,116.2,123,454,3.7,10,1966
5,Mickey Beard,Dartmouth,Ivy,9,75,137,54.7,1079,7.9,7.1,13,8,140.5,70,226,3.2,4,1966
6,Alan Pastrana,Maryland,ACC,10,102,195,52.3,1499,7.7,6.2,17,14,131.3,92,-104,-1.1,4,1966
7,Hank Washington,West Texas A&M,Ind,10,163,281,58.0,2107,7.5,6.1,17,16,129.6,54,78,1.4,3,1966
8,Dewey Warren,Tennessee,SEC,10,136,229,59.4,1716,7.5,7.7,18,7,142.2,70,41,0.6,5,1966
9,John Goodman,Arizona State,WAC,10,90,168,53.6,1259,7.5,4.7,8,14,115.6,56,-199,-3.6,0,1966
10,Virgil Carter,Brigham Young,WAC,10,141,293,48.1,2182,7.4,6.4,21,16,123.4,95,363,3.8,9,1966
11,Danny Holman,San Jose State,Ind,10,160,260,61.5,1925,7.4,6.3,12,12,129.7,108,-211,-2.0,1,1966
12,Dick Vidmer,Michigan,Big Ten,10,117,225,52.0,1609,7.2,6.6,10,7,120.5,67,30,0.4,1,1966
13,Bill Miller,Miami (FL),Ind,10,84,155,54.2,1114,7.2,4.9,7,11,115.3,55,121,2.2,2,1966
14,Greg Barton,Tulsa,MVC,10,133,235,56.6,1673,7.1,5.5,13,14,122.7,34,-121,-3.6,0,1966
15,Bill Creeden,Pennsylvania,Ivy,9,121,265,45.7,1842,7.0,5.2,11,15,106.4,87,90,1.0,4,1966
16,Clyde Hewell,Furman,Southern,10,81,157,51.6,1096,7.0,4.1,7,13,108.4,65,-112,-1.7,0,1966
17,Steve Spurrier,Florida,SEC,10,179,291,61.5,2012,6.9,6.8,16,8,132.2,76,66,0.9,0,1966
18,Carroll Williams,Xavier,Ind,10,97,203,47.8,1397,6.9,5.1,7,11,106.1,150,-15,-0.1,4,1966
19,Bill Abel,Cornell,Ivy,9,64,138,46.4,953,6.9,5.2,6,8,107.1,75,37,0.5,3,1966
20,Billy Stevens,UTEP,Ind,10,140,305,45.9,2088,6.8,5.6,19,17,112.8,55,-349,-6.3,2,1966
21,Gary Pajcic,Florida State,Ind,10,125,233,53.6,1590,6.8,5.8,8,9,114.6,57,135,2.4,1,1966
22,Tim Van Galder,Iowa State,Big 8,10,124,245,50.6,1645,6.7,4.3,6,16,102.0,117,104,0.9,5,1966
23,Bill Melzer,Northwestern,Big Ten,10,94,176,53.4,1171,6.7,4.4,7,12,108.8,46,-1,0.0,2,1966
24,Sal Olivas,New Mexico State,Ind,10,83,173,48.0,1154,6.7,6.0,17,10,124.9,52,72,1.4,3,1966
25,Robert Davis,Virginia,ACC,10,107,222,48.2,1461,6.6,5.5,10,10,109.3,87,227,2.6,6,1966
26,Steve Lindell,Army,Ind,10,80,157,51.0,1035,6.6,4.3,7,11,107.0,124,279,2.3,2,1966
27,Mark Reed,Arizona,WAC,10,193,365,52.9,2368,6.5,5.6,20,16,116.7,54,-74,-1.4,4,1966
28,Benny Russell,Louisville,MVC,10,142,310,45.8,2016,6.5,5.7,14,12,107.6,117,273,2.3,3,1966
29,Jimmy Poole,Davidson,Southern,9,156,259,60.2,1685,6.5,5.3,14,13,122.7,110,240,2.2,4,1966
30,Bob Churchich,Nebraska,Big 8,10,96,174,55.2,1136,6.5,4.7,4,9,107.3,63,-58,-0.9,4,1966
31,Frank Stavroff,Indiana,Big Ten,10,119,224,53.1,1406,6.3,4.3,7,13,104.6,64,-78,-1.2,null,1966
32,Rick Egloff,Wyoming,WAC,10,83,188,44.1,1181,6.3,5.3,13,10,109.1,59,249,4.2,4,1966
33,Hill Ellett,Virginia Military Institute,Southern,10,105,205,51.2,1281,6.2,4.5,11,13,108.7,60,-84,-1.4,3,1966
34,Bob Naponic,Illinois,Big Ten,10,70,162,43.2,998,6.2,5.5,4,4,98.2,133,215,1.6,null,1966
35,Buster O'Brien,Richmond,Southern,10,99,200,49.5,1221,6.1,5.6,8,6,108.0,91,80,0.9,2,1966
36,William Long,Ohio State,Big Ten,9,106,192,55.2,1180,6.1,4.0,6,12,104.6,96,33,0.3,1,1966
37,John Cartwright,Navy,Ind,10,96,188,51.1,1146,6.1,3.1,10,17,101.7,100,195,2.0,2,1966
38,Ed James,Pitt,Ind,10,91,193,47.2,1162,6.0,3.0,7,16,93.1,44,13,0.3,null,1966
39,Terry Southall,Baylor,SWC,10,173,337,51.3,1986,5.9,3.8,16,23,102.9,61,7,0.1,1,1966
40,Dan Darragh,William & Mary,Southern,10,111,227,48.9,1346,5.9,4.8,14,12,108.5,59,113,1.9,1,1966
41,Bob Lee,Pacific,Ind,11,102,222,45.9,1299,5.9,3.3,12,18,96.7,81,62,0.8,6,1966
42,Mick Murtha,Buffalo,Ind,10,84,210,40.0,1241,5.9,3.1,7,16,85.4,61,-14,-0.2,0,1966
43,Edd Hargett,Texas A&M,SWC,10,132,265,49.8,1532,5.8,3.4,11,19,97.7,71,17,0.2,3,1966
44,Tom Sparlin,Washington,AAWU,10,68,165,41.2,954,5.8,1.1,4,19,74.7,61,132,2.2,null,1966
45,Jesse Kaye,Tampa,Ind,9,157,331,47.4,1891,5.7,4.0,14,19,97.9,44,-140,-3.2,null,1966
46,John Scovell,Texas Tech,SWC,10,107,232,46.1,1323,5.7,4.6,8,9,97.6,112,280,2.5,null,1966
47,Jerry Henderson,Washington State,AAWU,10,95,174,54.6,989,5.7,2.6,2,13,91.2,83,107,1.3,null,1966
48,John Schneider,Toledo,MAC,10,130,273,47.6,1537,5.6,3.8,7,14,93.1,52,42,0.8,2,1966
49,Bob Wolfe,Colorado State,Ind,10,65,160,40.6,890,5.6,4.1,6,8,89.7,76,-10,-0.1,3,1966
50,Ed Podolak,Iowa,Big Ten,10,77,191,40.3,1041,5.5,1.5,3,18,72.4,141,450,3.2,null,1966
51,Jack Lentz,Holy Cross,Ind,10,74,153,48.4,845,5.5,2.9,5,11,91.2,177,685,3.9,7,1966
52,Jim Donnan,North Carolina State,ACC,10,74,158,46.8,859,5.4,3.4,4,9,89.5,22,-38,-1.7,1,1966
53,Barry Bronk,California,AAWU,10,84,183,45.9,965,5.3,3.3,7,11,90.8,52,-114,-2.2,null,1966
54,Vidal Carlin,North Texas,MVC,10,117,292,40.1,1510,5.2,2.5,15,24,84.0,41,-122,-3.0,1,1966
55,John Eckman,Wichita State,MVC,10,195,458,42.6,2339,5.1,2.1,7,34,75.7,81,-165,-2.0,1,1966
56,Pete Doherty,Yale,Ivy,9,90,192,46.9,978,5.1,null,11,null,null,19,-26,-1.4,0,1966
57,Gary Davis,Vanderbilt,SEC,10,62,153,40.5,777,5.1,2.4,0,9,71.4,98,-86,-0.9,null,1966
58,Bill Bailey,East Carolina,Southern,10,62,151,41.1,774,5.1,1.5,4,14,74.3,91,378,4.2,2,1966
59,Rick Beitler,New Mexico,WAC,10,67,162,41.4,763,4.7,2.4,4,10,76.7,91,-21,-0.2,1,1966
60,Don Saget,Mississippi State,SEC,10,69,166,41.6,753,4.5,0.7,2,15,65.6,91,150,1.6,null,1966
1,Gary Beban,UCLA,AAWU,10,87,156,55.8,1359,8.7,7.7,8,7,136.9,145,227,1.6,11,1967
2,Clyde Hewell,Furman,Southern,10,132,220,60.0,1873,8.5,7.4,12,11,139.5,74,-133,-1.8,0,1967
3,Kim Hammond,Florida State,Ind,11,140,241,58.1,1991,8.3,7.6,15,10,139.7,56,83,1.5,2,1967
4,Brooks Dawson,UTEP,Ind,9,71,154,46.1,1262,8.2,8.1,15,7,138.0,22,-41,-1.9,3,1967
5,Ric Zimmerman,Harvard,Ivy,9,62,139,44.6,1143,8.2,8.2,13,6,135.9,46,-5,-0.1,0,1967
6,Tom Sherman,Penn State,Ind,10,104,205,50.7,1616,7.9,7.2,13,9,129.1,69,145,2.1,1,1967
7,Bill Robertson,Cornell,Ivy,9,95,175,54.3,1347,7.7,7.0,12,8,132.4,56,8,0.1,2,1967
8,Bobby Douglass,Kansas,Big 8,10,82,173,47.4,1326,7.7,5.6,7,11,112.4,175,415,2.4,7,1967
9,Bill Bradley,Texas,SWC,10,72,153,47.1,1181,7.7,4.4,4,13,103.5,172,443,2.6,10,1967
10,Bill Andrejko,Villanova,Ind,10,114,187,61.0,1405,7.5,7.5,13,6,140.6,76,16,0.2,0,1967
11,Mike Phipps,Purdue,Big Ten,10,118,243,48.6,1800,7.4,7.0,11,7,120.0,86,220,2.6,1,1967
12,Paul Toscano,Wyoming,WAC,10,134,241,55.6,1791,7.4,7.1,18,10,134.4,94,124,1.3,4,1967
13,Bob Warmack,Oklahoma,Big 8,11,89,169,52.7,1243,7.4,6.2,8,8,120.6,115,290,2.5,4,1967
14,Jim Boreland,Western Michigan,MAC,9,74,150,49.3,1113,7.4,3.9,7,15,107.1,51,-56,-1.1,0,1967
15,Edd Hargett,Texas A&M,SWC,10,99,208,47.6,1526,7.3,7.2,14,7,124.7,115,6,0.1,null,1967
16,Ed Roseborough,Arizona State,WAC,10,95,205,46.3,1494,7.3,4.5,12,18,109.3,26,-57,-2.2,3,1967
17,Loran Carter,Auburn,SEC,10,86,178,48.3,1307,7.3,4.1,9,17,107.6,71,66,0.9,4,1967
18,Mike Livingston,SMU,SWC,10,152,250,60.8,1750,7.0,5.3,10,14,121.6,88,18,0.2,null,1967
19,Terry Hanratty,Notre Dame,Ind,10,110,206,53.4,1439,7.0,4.6,9,15,111.9,75,183,2.4,7,1967
20,Sal Olivas,New Mexico State,Ind,10,155,321,48.3,2225,6.9,5.9,19,16,116.1,47,-35,-0.7,0,1967
21,John Pappas,Utah State,Ind,10,106,205,51.7,1424,6.9,5.5,12,12,117.7,93,38,0.4,2,1967
22,Mike Stripling,Tulsa,MVC,10,86,185,46.5,1271,6.9,5.7,14,11,117.3,70,194,2.8,7,1967
23,Roy Winters,West Texas A&M,Ind,11,102,239,42.7,1632,6.8,5.9,9,9,104.9,83,136,1.6,3,1967
24,Marc Lyons,Brigham Young,WAC,10,98,193,50.8,1313,6.8,5.9,9,8,115.0,54,137,2.5,3,1967
25,Greg Cook,Cincinnati,MVC,9,81,179,45.3,1221,6.8,4.1,7,14,99.8,53,-49,-0.9,1,1967
26,Ken Stabler,Alabama,SEC,10,103,178,57.9,1214,6.8,4.5,9,13,117.2,111,113,1.0,5,1967
27,Al Woodall,Duke,ACC,10,79,150,52.7,1019,6.8,4.4,2,9,102.1,84,169,2.0,0,1967
28,John Schneider,Toledo,MAC,10,127,245,51.8,1650,6.7,5.5,10,11,112.9,77,362,4.7,5,1967
29,Billy Stevens,UTEP,Ind,9,90,206,43.7,1365,6.6,3.5,11,19,98.5,36,-111,-3.1,2,1967
30,Robert Hailey,Rice,SWC,10,111,222,50.0,1437,6.5,3.8,6,16,98.9,42,8,0.2,1,1967
31,Steve Ramsey,North Texas,MVC,9,119,269,44.2,1732,6.4,4.8,21,19,110.0,51,-168,-3.3,1,1967
32,John Cartwright,Navy,Ind,10,129,241,53.5,1537,6.4,5.4,9,9,112.0,147,444,3.0,6,1967
33,Cleve Bryant,Ohio,MAC,10,68,180,37.8,1157,6.4,3.7,9,15,91.6,153,424,2.8,7,1967
34,John Boyajian,Wisconsin,Big Ten,10,79,152,52.0,966,6.4,4.1,3,9,100.0,40,-53,-1.3,3,1967
35,Danny Holman,San Jose State,Ind,9,110,221,49.8,1403,6.3,3.5,7,17,98.2,70,-360,-5.1,2,1967
36,Phil O'Neil,Holy Cross,Ind,10,97,218,44.5,1378,6.3,5.2,10,10,103.6,93,-209,-2.2,3,1967
37,Ed Podolak,Iowa,Big Ten,10,79,162,48.8,1014,6.3,4.4,5,9,100.4,112,323,2.9,null,1967
38,Jim Donnan,North Carolina State,ACC,10,79,156,50.6,980,6.3,5.4,7,6,110.5,45,87,1.9,0,1967
39,Frank Patrick,Nebraska,Big 8,10,116,233,49.8,1449,6.2,4.3,7,13,100.8,97,-22,-0.2,3,1967
40,Dan Darragh,William & Mary,Southern,10,84,180,46.7,1119,6.2,3.9,8,13,99.1,82,94,1.1,6,1967
41,Jimmy Poole,Davidson,Southern,9,157,264,59.5,1602,6.1,4.7,9,12,112.6,89,72,0.8,2,1967
42,Bob Lee,Pacific,Ind,9,89,170,52.4,1041,6.1,4.7,6,8,106.0,104,20,0.2,4,1967
43,Joe DiVito,Boston College,Ind,10,69,159,43.4,964,6.1,3.6,5,11,90.9,22,5,0.2,0,1967
44,Marty Domres,Columbia,Ivy,9,121,229,52.8,1378,6.0,4.2,6,12,101.6,175,374,2.1,5,1967
45,Jack Gehrke,Utah,WAC,11,81,171,47.4,1029,6.0,4.4,11,11,106.3,115,201,1.7,1,1967
46,Dennis Brown,Michigan,Big Ten,10,82,155,52.9,928,6.0,4.7,6,7,106.9,137,358,2.6,4,1967
47,Chuck Williams,Stanford,AAWU,10,76,153,49.7,923,6.0,3.7,7,11,101.1,62,122,2.0,0,1967
48,Russ Quay,Virginia Military Institute,Southern,10,72,151,47.7,912,6.0,4.7,8,8,105.3,106,196,1.8,6,1967
49,Dave Saladino,Tampa,Ind,9,88,191,46.1,1133,5.9,2.7,5,16,87.8,49,14,0.3,1,1967
50,Mike Fair,South Carolina,ACC,10,79,165,47.9,970,5.9,1.4,1,17,78.7,133,258,1.9,7,1967
51,Terry Stone,New Mexico,WAC,10,160,336,47.6,1946,5.8,3.8,9,19,93.8,70,-415,-5.9,0,1967
52,Ron Swartz,Kent State,MAC,10,79,177,44.6,1029,5.8,4.3,11,11,101.5,50,-132,-2.6,0,1967
53,Freddie Summers,Wake Forest,ACC,10,77,159,48.4,909,5.7,3.7,2,8,90.5,179,510,2.8,10,1967
54,Bill Nossek,Kansas State,Big 8,10,111,216,51.4,1220,5.6,3.0,3,14,90.5,81,-395,-4.9,0,1967
55,Rick Cassata,Syracuse,Ind,10,92,176,52.3,992,5.6,3.5,8,12,101.0,126,474,3.8,6,1967
56,Dean Volkman,Illinois,Big Ten,10,77,183,42.1,1005,5.5,2.9,3,12,80.5,58,-10,-0.2,0,1967
57,Gayle Bomar,North Carolina,ACC,10,79,158,50.0,873,5.5,4.6,4,5,98.4,193,529,2.7,2,1967
58,Wally Oyler,Louisville,MVC,10,83,192,43.2,1039,5.4,2.9,5,13,83.7,105,256,2.4,5,1967
59,Mick Murtha,Buffalo,Ind,10,72,171,42.1,927,5.4,1.9,4,15,77.8,45,9,0.2,1,1967
60,Buster O'Brien,Richmond,Southern,10,101,233,43.3,1242,5.3,3.6,5,11,85.8,75,-157,-2.1,1,1967
61,Bill Melzer,Northwestern,Big Ten,10,101,215,47.0,1146,5.3,2.1,1,16,78.4,79,59,0.7,4,1967
62,Jimmy Addison,Clemson,ACC,10,82,174,47.1,924,5.3,3.3,5,10,89.7,23,85,3.7,1,1967
63,Bill Creeden,Pennsylvania,Ivy,9,70,164,42.7,870,5.3,4.1,4,6,88.0,56,115,2.1,4,1967
64,P.J. Nyitray,Bowling Green State,MAC,10,73,164,44.5,846,5.2,3.7,6,8,90.2,59,-93,-1.6,0,1967
65,Jerry Montiel,Colorado State,Ind,10,76,194,39.2,985,5.1,3.1,6,11,80.7,82,119,1.5,3,1967
66,John Warder,Iowa State,Big 8,10,80,196,40.8,949,4.8,1.9,3,14,72.3,181,271,1.5,3,1967
67,Harold Phillips,Brown,Ivy,9,58,152,38.2,714,4.7,2.9,4,8,75.8,46,-136,-3.0,1,1967
68,John Eckman,Wichita State,MVC,10,75,176,42.6,784,4.5,3.6,6,6,84.5,59,-62,-1.1,1,1967
69,Dave Bair,Kentucky,SEC,10,66,164,40.2,634,3.9,-1.5,3,21,53.1,46,85,1.8,1,1967
1,Brian Dowling,Yale,Ivy,9,92,160,57.5,1554,9.7,9.3,19,10,165.8,82,313,3.8,6,1968
2,Ken Bailey,Houston,Ind,10,71,151,47.0,1279,8.5,6.4,11,12,126.3,121,336,2.8,7,1968
3,Bill Cappleman,Florida State,Ind,10,162,287,56.4,2410,8.4,8.4,25,11,148.1,62,-68,-1.1,1,1968
4,Larry Lawrence,Iowa,Big Ten,10,88,156,56.4,1307,8.4,6.7,7,9,130.1,104,161,1.5,10,1968
5,Bob Warmack,Oklahoma,Big 8,10,106,189,56.1,1548,8.2,7.8,10,6,136.0,103,266,2.6,5,1968
6,John Pappas,Utah State,Ind,10,98,203,48.3,1647,8.1,7.0,16,12,130.6,87,-77,-0.9,4,1968
7,Greg Cook,Cincinnati,MVC,10,219,411,53.3,3272,8.0,7.3,25,17,132.0,96,-62,-0.6,5,1968
8,Jim Plunkett,Stanford,Pac-8,10,142,268,53.0,2156,8.0,6.7,14,14,127.4,80,47,0.6,6,1968
9,Bobby Douglass,Kansas,Big 8,10,84,168,50.0,1316,7.8,7.7,12,6,132.2,148,495,3.3,12,1968
10,Buster O'Brien,Richmond,Southern,10,149,255,58.4,1961,7.7,7.6,21,10,142.4,59,-45,-0.8,1,1968
11,Steve Ramsey,North Texas,MVC,10,177,332,53.3,2516,7.6,6.7,24,17,130.6,37,-149,-4.0,0,1968
12,Mike Sherwood,West Virginia,Southern,10,151,264,57.2,1998,7.6,6.8,12,10,128.2,91,-15,-0.2,4,1968
13,Cleve Bryant,Ohio,MAC,10,98,200,49.0,1524,7.6,7.9,14,5,131.1,181,734,4.1,8,1968
14,Mike Cavan,Georgia,SEC,11,125,229,54.6,1722,7.5,5.8,9,13,119.4,114,67,0.6,4,1968
15,Tommy Suggs,South Carolina,ACC,10,110,207,53.1,1544,7.5,6.1,13,12,124.9,71,114,1.6,3,1968
16,Frank Harris,Boston College,Ind,9,106,186,57.0,1398,7.5,5.8,13,13,129.2,27,-12,-0.4,0,1968
17,Leo Hart,Duke,ACC,10,162,301,53.8,2238,7.4,6.5,11,11,121.0,102,102,1.0,3,1968
18,Terry Hanratty,Notre Dame,Ind,10,116,197,58.9,1466,7.4,6.4,10,9,129.0,56,279,5.0,4,1968
19,Steve Olson,Idaho,Ind,10,183,365,50.1,2591,7.1,5.6,19,21,115.4,99,-132,-1.3,5,1968
20,Gene Arnette,Virginia,ACC,10,106,206,51.5,1463,7.1,5.7,17,14,124.8,88,292,3.3,3,1968
21,Denny Mason,Buffalo,Ind,10,89,158,56.3,1124,7.1,4.3,5,12,111.3,85,99,1.2,0,1968
22,David Olivo,Miami (FL),Ind,10,137,248,55.2,1727,7.0,5.0,9,15,113.6,81,-155,-1.9,0,1968
23,Steve Sogge,USC,Pac-8,11,122,207,58.9,1454,7.0,5.9,9,9,123.6,84,49,0.6,0,1968
24,Larry Good,Georgia Tech,Ind,10,97,191,50.8,1337,7.0,5.7,6,8,111.6,53,19,0.4,1,1968
25,Bill Montgomery,Arkansas,SWC,10,134,234,57.3,1595,6.8,6.1,10,8,121.8,116,239,2.1,null,1968
26,Dennis Brown,Michigan,Big Ten,10,109,229,47.6,1562,6.8,5.9,12,10,113.5,115,215,1.9,1,1968
27,Harry Gonso,Indiana,Big Ten,10,76,163,46.6,1109,6.8,5.8,12,9,117.0,151,323,2.1,4,1968
28,Loy Hayes,New Mexico State,Ind,10,67,156,42.9,1068,6.8,5.0,10,11,107.5,98,238,2.4,0,1968
29,Edd Hargett,Texas A&M,SWC,10,169,348,48.6,2321,6.7,5.8,16,14,111.7,85,9,0.1,2,1968
30,Freddie Summers,Wake Forest,ACC,10,125,250,50.0,1664,6.7,2.9,9,25,97.8,159,439,2.8,7,1968
31,Mark Boudeaux,Western Michigan,MAC,9,83,171,48.5,1143,6.7,4.5,8,12,106.1,65,10,0.2,1,1968
32,Skip Jacobsen,Wyoming,WAC,10,81,151,53.6,1008,6.7,5.2,9,9,117.5,50,-9,-0.2,0,1968
33,Chuck Hixson,SMU,SWC,10,265,468,56.6,3103,6.6,5.3,21,23,117.3,88,-108,-1.2,6,1968
34,Chuck Burkhart,Penn State,Ind,10,87,177,49.2,1170,6.6,5.5,6,7,108.0,41,12,0.3,0,1968
35,Gordon Slade,Davidson,Southern,9,190,322,59.0,2109,6.5,5.6,14,13,120.3,73,21,0.3,3,1968
36,Bubba Wyche,Tennessee,SEC,11,134,237,56.5,1539,6.5,6.3,14,7,124.7,104,-37,-0.4,1,1968
37,Scott Hunter,Alabama,SEC,10,122,227,53.7,1471,6.5,5.6,10,9,114.8,48,-43,-0.9,1,1968
38,Gayle Bomar,North Carolina,ACC,10,87,189,46.0,1229,6.5,5.2,8,9,105.1,165,495,3.0,5,1968
39,Mike Phipps,Purdue,Big Ten,8,88,169,52.1,1096,6.5,4.4,3,9,101.8,57,22,0.4,0,1968
40,Steve Lindell,Army,Ind,10,75,160,46.9,1043,6.5,5.0,6,8,104.0,104,261,2.5,2,1968
41,Marty Domres,Columbia,Ivy,9,183,344,53.2,2206,6.4,5.1,11,15,108.9,153,198,1.3,6,1968
42,Jerry Henderson,Washington State,Pac-8,10,137,246,55.7,1586,6.4,3.7,4,17,101.4,48,-130,-2.7,null,1968
43,Dave Havern,Pitt,Ind,10,140,287,48.8,1810,6.3,3.7,7,20,95.9,93,-54,-0.6,2,1968
44,Brooks Dawson,UTEP,WAC,10,123,279,44.1,1764,6.3,5.4,14,12,105.2,40,-240,-6.0,0,1968
45,Roy Winters,West Texas A&M,Ind,10,75,183,41.0,1145,6.3,3.3,7,15,89.8,68,90,1.3,1,1968
46,Jim Nader,UCLA,Pac-8,10,72,163,44.2,1008,6.2,4.3,7,10,98.0,68,-35,-0.5,1,1968
47,Billy Ammons,Clemson,ACC,10,74,162,45.7,1006,6.2,2.9,5,14,90.7,25,-99,-4.0,3,1968
48,Lynn Dickey,Kansas State,Big 8,10,125,258,48.4,1569,6.1,3.4,8,19,95.0,30,-154,-5.1,0,1968
49,Steve Stuart,Baylor,SWC,10,95,216,44.0,1320,6.1,3.2,7,17,90.3,20,-48,-2.4,2,1968
50,Alan Pastrana,Maryland,ACC,10,81,172,47.1,1053,6.1,3.9,6,11,97.2,51,-122,-2.4,1,1968
51,Gary Baxter,Air Force,Ind,10,76,168,45.2,1024,6.1,5.6,7,5,104.2,108,263,2.4,7,1968
52,Kent Thompson,Miami (OH),MAC,10,76,159,47.8,970,6.1,6.0,6,3,107.7,146,575,3.9,4,1968
53,Loran Carter,Auburn,SEC,10,112,248,45.2,1487,6.0,3.3,14,21,97.2,48,-47,-1.0,1,1968
54,Bob Anderson,Colorado,Big 8,10,112,222,50.5,1341,6.0,4.2,7,12,100.8,183,788,4.3,9,1968
55,Randy Humphries,California,Pac-8,11,98,207,47.3,1247,6.0,3.3,6,15,93.0,115,130,1.1,4,1968
56,Wally Oyler,Louisville,MVC,10,112,240,46.7,1410,5.9,2.8,6,19,88.4,85,249,2.9,5,1968
57,John Sodaski,Villanova,Ind,10,115,239,48.1,1399,5.9,3.1,7,18,91.9,181,585,3.2,10,1968
58,John Warder,Iowa State,Big 8,10,89,201,44.3,1184,5.9,4.6,7,9,96.3,151,355,2.4,3,1968
59,Bill Robertson,Cornell,Ivy,9,81,197,41.1,1156,5.9,3.7,3,11,84.3,57,-18,-0.3,4,1968
60,Tony Passander,Citadel,Southern,10,79,185,42.7,1083,5.9,4.8,8,8,97.5,149,76,0.5,5,1968
61,Tommy Pharr,Mississippi State,SEC,10,173,319,54.2,1838,5.8,3.8,9,18,100.7,141,239,1.7,3,1968
62,Ronnie Johnson,Oklahoma State,Big 8,10,121,247,49.0,1438,5.8,3.3,5,16,91.6,127,166,1.3,1,1968
63,Ray Groth,Utah,WAC,10,84,203,41.4,1181,5.8,2.5,7,18,83.9,106,331,3.1,6,1968
64,John Miller,Vanderbilt,SEC,10,99,201,49.3,1164,5.8,2.3,5,18,88.2,82,33,0.4,2,1968
65,Wayne Francingues,Tulane,Ind,10,66,162,40.7,938,5.8,3.2,4,11,83.9,157,438,2.8,7,1968
66,Jim DelGaizo,Tampa,Ind,10,163,351,46.4,2008,5.7,4.6,16,16,100.4,65,-129,-2.0,2,1968
67,Mike Stripling,Tulsa,MVC,10,164,347,47.3,1968,5.7,4.2,8,15,93.9,118,307,2.6,5,1968
68,Archie Manning,Ole Miss,SEC,10,127,263,48.3,1510,5.7,3.4,8,17,93.6,110,208,1.9,5,1968
69,Paul Paolisso,Syracuse,Ind,10,87,164,53.0,939,5.7,3.2,6,12,98.6,59,-39,-0.7,2,1968
70,Joe Matulich,Texas Tech,SWC,10,73,152,48.0,864,5.7,4.5,9,8,104.8,93,186,2.0,3,1968
71,Tommy Boutwell,Southern Mississippi,Ind,10,151,285,53.0,1583,5.6,3.7,8,15,98.4,135,331,2.5,8,1968
72,John Oertel,Marshall,MAC,10,95,222,42.8,1251,5.6,1.5,8,24,80.4,39,-148,-3.8,3,1968
73,Bob Carpenter,Northern Illinois,Ind,10,128,259,49.4,1421,5.5,3.6,11,16,97.2,34,-160,-4.7,1,1968
74,Clyde Hewell,Furman,Southern,10,100,186,53.8,1024,5.5,3.8,2,8,95.0,49,-310,-6.3,0,1968
75,Dave Shelbourne,Northwestern,Big Ten,10,105,251,41.8,1358,5.4,3.1,7,16,83.7,118,156,1.3,1,1968
76,Murphy Sprinkel,Virginia Military Institute,Southern,10,81,222,36.5,1163,5.2,1.5,3,20,66.9,93,-157,-1.7,2,1968
77,Jerry Montiel,Colorado State,WAC,10,75,202,37.1,1031,5.1,3.0,6,12,77.9,59,22,0.4,1,1968
78,Phil Hagen,Minnesota,Big Ten,10,75,157,47.8,771,4.9,3.1,4,8,87.2,58,134,2.3,1,1968
